# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.9,0.95,-0.5627371138723803,0,3.0,-136.13032243024315,180.0,0.0,0.0
 0.018026324483511078,6.90048739905237,0.9499952127999999,-0.5627371138723803,0.05407897345053323,3.0,-136.13032243024315,180.0,-430.8387439082481,0.0
 0.024620894132909486,6.9007279915062085,0.9499809024,-3.4039332182346467,0.019016825374784156,-5.316821254431308,-8295.550618156376,180.0,-78855.53857639301,0.0
 0.025853357695060548,6.900723549613991,0.9499571456,-100.5905111874364,0.020202980628452015,0.9624262250785093,-7350.051124233616,180.0,-9175.406996457525,0.0
 0.03367778459227507,6.900475845628191,0.9499240192,-172.382812483409,0.043676261320095576,2.9999999999999987,-125.36365925093459,180.0,-307.1598646876267,0.0
 0.042342086696503106,6.899986651801282,0.9498815999999999,-175.0441383453564,0.0696691676327797,3.0000000000000018,-25.823687854379333,180.0,-102.53156871987416,0.0
 0.051157585725687856,6.899257740385738,0.9498299647999999,-175.94800528986724,0.09611566472033395,3.000000000000001,-9.350390351755895,180.0,-51.409014710333,0.0
 0.0600129459265185,6.898290883634035,0.9497691904,-176.40325063269702,0.12268174532282587,2.999999999999999,-4.406461849593224,180.0,-30.9641750692674,3.2070300297283323e-12
 0.06887526064354396,6.897087853798647,0.9496993536,-176.67766489711394,0.14926868947390223,2.999999999999997,-2.423712403135948,180.00000000000003,-20.73467220034048,-3.209268219825232e-12
 0.07773139465404177,6.895650423132047,0.9496205312,-176.8612939327839,0.17583709150539567,3.0,-1.476377277808909,180.0,-14.882991054967652,0.0
 0.08657506977628682,6.89398036388671,0.9495328,-176.9929142705213,0.2023681168721308,3.0,-0.9670282440837663,180.0,-11.221284308089439,0.0
 0.09540289717925601,6.89207944831511,0.9494362368,-177.09197383163277,0.2288515990810384,3.0,-0.6687866887467591,180.0,-8.777141383234168,0.0
 0.10421287785223954,6.8899494486697215,0.9493309184,-177.16930027758312,0.25528154109998896,3.0,-0.4824993615243531,180.0,-7.064181048068786,0.0
 0.11300374891093418,6.887592137203018,0.9492169215999999,-177.23140058231195,0.2816541542760729,3.0,-0.3600889158191175,180.0,-5.816960506175587,3.2404485946257276e-12
 0.12177466707255578,6.885009286167476,0.9490943232,-177.28242066686101,0.3079669087609377,2.9999999999999982,-0.27629627004729795,180.00000000000003,-4.880538542863561,-3.248056005421238e-12
 0.1305250424918731,6.882202667815566,0.9489631999999999,-177.3251272113595,0.33421803501888964,2.9999999999999982,-0.21697421194984437,180.0,-4.159500100255894,0.0
 0.13925444574268772,6.879174054399765,0.9488236287999999,-177.36143716505643,0.3604062447713335,3.0,-0.17377409886084808,180.0,-3.592462257770688,0.0
 0.147962552945574,6.875925218172545,0.9486756864,-177.39272071151944,0.38653056637999234,3.0,-0.14154999646596853,180.0,-3.138472693289654,0.0
 0.1566491119565989,6.872457931386384,0.9485194495999999,-177.4199832397742,0.412590243413067,3.0,-0.11701101598036094,180.0,-2.769355653749532,-3.280131172310903e-12
 0.16531392075154122,6.868773966293753,0.9483549952,-177.4439791769991,0.438584669797894,3.000000000000003,-0.0979850163849379,179.99999999999997,-2.4652075300658116,3.288448828938148e-12
 0.17395681316339653,6.864875095147127,0.9481824,-177.4652857004544,0.46451334703346,3.000000000000003,-0.08299843089544516,180.0,-2.2116428393889778,0.0
 0.1825776492105379,6.86076309019898,0.9480017408,-177.4843519107676,0.4903758551748841,3.0,-0.07102729516800174,180.0,-1.998053962635899,0.0
 0.19117630837876295,6.8564397237017864,0.9478130944,-177.50153249579202,0.5161718326795592,3.0,-0.06134481423361089,180.0,-1.8164794106469635,0.0
 0.19975268485523065,6.851906767908022,0.9476165376,-177.5171113070795,0.5419009621089622,2.999999999999987,-0.053425277264293726,180.0,-1.6608489396091233,3.3226223984995853e-12
 0.2083066840828403,6.847165995070158,0.9474121472,-177.5313182076261,0.5675629597917912,2.999999999999997,-0.046881945437968316,180.00000000000003,-1.5264685942981058,-3.331370687644376e-12
 0.21683822022675142,6.842219177440671,0.9471999999999999,-177.54434132961086,0.5931575682235246,3.000000000000013,-0.04142592798723112,180.0,-1.4096622927809415,-3.3401961785829143e-12
 0.22534721428304125,6.837068087272035,0.9469801727999999,-177.5563361376815,0.6186845503923941,3.000000000000003,-0.03683844045752448,179.99999999999997,-1.3075178151225362,0.0
 0.23383359264707965,6.831714496816722,0.9467527424,-177.56743222857838,0.6441436854845093,2.999999999999997,-0.032951683861101796,179.99999999999997,-1.2177038239463644,3.358074092605098e-12
 0.24229728601614264,6.826160178327209,0.9465177856,-177.5777385003586,0.6695347655916982,2.9999999999999933,-0.029635481339463463,180.0,-1.1383360815554635,0.0
 0.2507382285385255,6.820406904055969,0.9462753792,-177.58734712979415,0.6948575931588468,2.9999999999999933,-0.026787772498537636,180.0,-1.0678782967650309,0.0
 0.25915635714669916,6.814456446255477,0.9460255999999999,-177.5963366666342,0.7201119789833677,2.9999999999999933,-0.024327758957615946,180.0,-1.0050677286997347,0.0
 0.2675516110295907,6.808310577178206,0.9457685248,-177.60477446538613,0.7452977406320423,3.0000000000000133,-0.022190892153455783,180.0,-0.948858713082189,0.0
 0.27592393121113307,6.8019710690766315,0.9455042303999999,-177.61271861433912,0.7704147011766695,3.0000000000000067,-0.020325183655341836,180.0,-0.8983793531316654,0.0
